,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,vanderhoof,54.0166,-124.0198,-4.11,90,97,0.4,CA,1612330551
341,tambopata,-12.7333,-69.1833,73.13,98,97,0.67,PE,1612330551
342,belmonte,-15.8631,-38.8828,75.2,88,75,3.44,BR,1612330034
343,ewo,-0.8725,14.8206,75.54,83,66,3.56,CG,1612330551
344,manaus,-3.1019,-60.025,75.2,94,20,2.3,BR,1612330551
345,slavutych,51.5196,30.7343,27.66,99,99,9.06,UA,1612330552
346,nantucket,41.2835,-70.0995,35.6,93,90,17.27,US,1612330265
347,jining,35.405,116.5814,55.38,37,0,13.78,CN,1612330552
348,harnai,30.1005,67.9374,61.2,27,0,2.44,PK,1612330259
349,novikovo,51.1537,37.8879,28.85,98,97,7.18,RU,1612330553
350,guilin,25.2819,110.2864,62.6,67,75,4.47,CN,1612330553
351,ciudad del maiz,22.4,-99.6,49.55,95,59,1.54,MX,1612330553
352,katsuura,35.1333,140.3,50.0,37,20,9.22,JP,1612330275
353,whitehorse,60.7161,-135.0538,-14.8,70,1,6.91,CA,1612330281
354,alekseyevsk,57.8406,108.3492,-9.6,87,100,7.54,RU,1612330554
355,bowen,-20.0167,148.2333,78.8,89,90,5.75,AU,1612330554
356,necochea,-38.5473,-58.7368,59.22,90,78,5.21,AR,1612330554
357,mwingi,-0.9344,38.0601,73.26,71,42,3.4,KE,1612330554
358,east massapequa,40.6734,-73.4365,30.99,74,90,13.8,US,1612330555
359,sorland,67.667,12.6934,12.2,79,0,5.75,NO,1612330306
360,sabancuy,18.9667,-91.1833,64.08,75,18,4.94,MX,1612330555
361,tucuma,-0.1833,-50.05,76.32,91,50,5.91,BR,1612330388
362,killorglin,52.1,-9.7833,44.33,76,78,10.54,IE,1612330555
363,bogandinskiy,56.8937,65.8938,17.6,86,75,6.71,RU,1612330556
364,goundam,16.4145,-3.6708,61.97,26,1,7.14,ML,1612330556
365,port moresby,-9.4431,147.1797,87.8,66,40,17.27,PG,1612330557
366,catamarca,-28.4696,-65.7852,61.0,99,100,1.99,AR,1612330557
